screen_time_hours,sleep_hours,energy_level,hour_of_day,day_of_week,scroll_session_mins,heart_rate_resting,mood_valence,hour_sin,hour_cos,day_sin,day_cos,screen_sleep_interaction,weather_temp_c,stress_score,stress_label,archetype,user_id
1.21,6.4,6,21,4,5.8,63.9,-0.8,-0.7071,0.7071,-0.4339,-0.901,0.0036,13.2,0.155,low,recovering,recovering_11
5.28,4.1,1,6,3,39.75,76.0,-0.7,1.0,0.0,0.4339,-0.901,0.0386,17.3,0.7891,high,shift_worker,shift_worker_16
7.78,5.93,4,10,0,13.16,79.1,-0.7,0.5,-0.866,0.0,1.0,0.0301,11.9,0.9123,high,chronic_stress,chronic_stress_14
4.42,4.53,2,20,3,1.52,80.2,0.7,-0.866,0.5,0.4339,-0.901,0.0288,8.9,0.6227,moderate,chronic_stress,chronic_stress_10
11.26,4.46,1,13,2,43.61,104.1,-0.8,-0.2588,-0.9659,0.9749,-0.2225,0.0749,19.9,0.98,high,chronic_stress,chronic_stress_02
12.35,7.22,5,18,5,74.2,84.8,-0.7,-1.0,-0.0,-0.9749,-0.2225,0.0181,17.8,0.8399,high,professional,professional_03
1.33,4.42,3,19,4,2.21,97.2,-0.4,-0.9659,0.2588,-0.4339,-0.901,0.0089,8.6,0.5424,moderate,professional,professional_15
14.0,3.47,1,20,3,18.61,74.1,-0.6,-0.866,0.5,0.4339,-0.901,0.119,12.9,0.98,high,chronic_stress,chronic_stress_04
5.76,5.95,3,22,4,33.52,71.6,-0.8,-0.5,0.866,-0.4339,-0.901,0.0222,7.9,0.6688,moderate,chronic_stress,chronic_stress_06
6.92,4.18,1,13,5,12.07,79.0,-0.4,-0.2588,-0.9659,-0.9749,-0.2225,0.0496,11.5,0.8379,high,chronic_stress,chronic_stress_00
1.7,7.14,5,12,5,1.25,74.4,0.7,0.0,-1.0,-0.9749,-0.2225,0.0027,10.8,0.1243,low,professional,professional_12
6.95,5.6,4,6,0,6.28,78.5,-0.6,1.0,0.0,0.0,1.0,0.0312,11.9,0.7808,high,shift_worker,shift_worker_15
3.93,3.74,2,22,5,19.97,94.7,-0.7,-0.5,0.866,-0.9749,-0.2225,0.0314,19.5,0.8188,high,shift_worker,shift_worker_01
5.66,8.64,6,8,6,60.22,59.4,0.6,0.866,-0.5,-0.7818,0.6235,0.0,13.8,0.4369,moderate,recovering,recovering_12
7.08,3.99,1,9,5,0.5,78.0,-0.8,0.7071,-0.7071,-0.9749,-0.2225,0.0532,23.8,0.98,high,chronic_stress,chronic_stress_14
14.0,4.49,2,22,1,22.2,75.3,-0.6,-0.5,0.866,0.7818,0.6235,0.0922,13.8,0.98,high,student,student_09
1.2,6.93,4,8,0,3.71,70.9,-0.7,0.866,-0.5,0.0,1.0,0.0024,10.7,0.5964,moderate,professional,professional_00
3.34,6.75,6,9,2,18.36,74.5,-0.7,0.7071,-0.7071,0.9749,-0.2225,0.0078,1.9,0.5293,moderate,recovering,recovering_15
5.78,9.36,6,8,5,18.96,61.4,0.7,0.866,-0.5,-0.9749,-0.2225,0.0,7.1,0.317,low,athlete,athlete_14
8.01,6.94,5,21,6,14.17,63.7,-0.6,-0.7071,0.7071,-0.7818,0.6235,0.0159,9.5,0.7227,high,recovering,recovering_02
2.33,6.45,4,8,4,8.51,73.7,-0.4,0.866,-0.5,-0.4339,-0.901,0.0068,21.9,0.4598,moderate,recovering,recovering_17
7.59,5.56,3,22,0,23.73,79.2,-0.7,-0.5,0.866,0.0,1.0,0.0347,5.6,0.915,high,student,student_18
5.94,3.17,1,7,0,0.5,66.5,0.6,0.9659,-0.2588,0.0,1.0,0.0538,3.3,0.59,moderate,shift_worker,shift_worker_16
3.37,7.23,7,12,1,1.22,76.7,-0.8,0.0,-1.0,0.7818,0.6235,0.0049,3.4,0.5144,moderate,recovering,recovering_15
3.69,4.32,4,12,1,3.65,73.9,-0.8,0.0,-1.0,0.7818,0.6235,0.0255,11.3,0.7868,high,recovering,recovering_17
11.77,4.89,3,21,4,0.88,80.5,0.7,-0.7071,0.7071,-0.4339,-0.901,0.0686,1.7,0.7586,high,recovering,recovering_07
1.63,8.51,6,7,0,1.7,54.6,0.5,0.9659,-0.2588,0.0,1.0,0.0,7.5,0.1076,low,athlete,athlete_17
8.66,4.86,1,15,4,3.23,88.3,-0.7,-0.7071,-0.7071,-0.4339,-0.901,0.051,4.5,0.98,high,shift_worker,shift_worker_14
12.48,7.6,5,8,6,120.0,78.4,-0.8,0.866,-0.5,-0.7818,0.6235,0.0094,11.0,0.7919,high,professional,professional_03
10.58,5.32,3,20,0,120.0,86.1,-0.7,-0.866,0.5,0.0,1.0,0.0532,10.3,0.98,high,professional,professional_07
13.91,6.57,4,8,0,63.83,84.2,-0.8,0.866,-0.5,0.0,1.0,0.0374,6.0,0.98,high,recovering,recovering_15
2.17,5.24,5,12,0,5.71,63.8,-0.6,0.0,-1.0,0.0,1.0,0.0112,-5.0,0.6297,moderate,professional,professional_08
0.72,4.43,1,9,5,1.26,91.6,-0.7,0.7071,-0.7071,-0.9749,-0.2225,0.0048,22.3,0.8043,high,chronic_stress,chronic_stress_12
11.08,6.21,2,6,1,14.31,79.9,-0.8,1.0,0.0,0.7818,0.6235,0.0373,6.7,0.98,high,shift_worker,shift_worker_16
8.13,6.11,2,22,5,95.33,78.2,-0.6,-0.5,0.866,-0.9749,-0.2225,0.0288,25.9,0.98,high,student,student_00
10.52,3.96,1,10,6,18.61,69.6,-0.6,0.5,-0.866,-0.7818,0.6235,0.0796,8.6,0.98,high,chronic_stress,chronic_stress_12
14.0,6.73,1,12,3,24.46,70.0,0.7,0.0,-1.0,0.4339,-0.901,0.0334,22.5,0.8552,high,student,student_05
4.73,9.08,8,6,6,19.4,62.1,0.6,1.0,0.0,-0.7818,0.6235,0.0,19.3,0.2825,low,athlete,athlete_08
4.05,6.57,6,8,2,19.03,59.5,0.5,0.866,-0.5,0.9749,-0.2225,0.0108,15.5,0.3058,moderate,recovering,recovering_13
3.02,6.08,4,18,3,4.4,69.9,-0.8,-1.0,-0.0,0.4339,-0.901,0.0109,5.7,0.2983,low,professional,professional_08
2.44,3.0,2,14,0,13.27,73.0,-0.7,-0.5,-0.866,0.0,1.0,0.0228,18.2,0.7773,high,shift_worker,shift_worker_01
5.52,10.27,6,23,6,13.36,78.5,-0.4,-0.2588,0.9659,-0.7818,0.6235,0.0,4.3,0.6157,moderate,student,student_11
14.0,5.04,2,10,2,82.31,95.1,-0.8,0.5,-0.866,0.9749,-0.2225,0.0778,1.1,0.98,high,chronic_stress,chronic_stress_03
8.25,8.6,4,12,6,26.74,72.8,-0.4,0.0,-1.0,-0.7818,0.6235,0.0,-1.4,0.94,high,recovering,recovering_13
1.49,9.85,8,14,5,8.75,81.6,-0.8,-0.5,-0.866,-0.9749,-0.2225,0.0,17.1,0.4405,moderate,student,student_03
6.5,5.26,1,6,2,24.92,79.3,-0.7,1.0,0.0,0.9749,-0.2225,0.0335,13.0,0.7385,high,shift_worker,shift_worker_11
0.74,5.67,3,23,4,0.83,81.2,0.5,-0.2588,0.9659,-0.4339,-0.901,0.0032,15.3,0.4978,moderate,student,student_11
1.07,6.68,3,15,0,2.56,71.6,0.7,-0.7071,-0.7071,0.0,1.0,0.0027,5.7,0.1036,low,shift_worker,shift_worker_14
1.69,7.56,6,12,2,4.87,50.2,0.6,0.0,-1.0,0.9749,-0.2225,0.0014,-5.3,0.1314,low,athlete,athlete_12
6.03,3.0,1,23,5,5.75,91.7,-0.6,-0.2588,0.9659,-0.9749,-0.2225,0.0566,14.4,0.98,high,shift_worker,shift_worker_03
6.12,5.48,2,20,4,35.89,86.0,-0.8,-0.866,0.5,-0.4339,-0.901,0.0289,18.3,0.8931,high,chronic_stress,chronic_stress_06
5.47,4.63,1,21,6,9.13,77.7,0.7,-0.7071,0.7071,-0.7818,0.6235,0.0345,2.7,0.8372,high,chronic_stress,chronic_stress_13
6.64,3.82,1,9,5,9.88,107.5,-0.6,0.7071,-0.7071,-0.9749,-0.2225,0.052,8.9,0.8509,high,chronic_stress,chronic_stress_15
2.46,6.09,5,8,6,16.91,67.1,-0.6,0.866,-0.5,-0.7818,0.6235,0.0088,20.5,0.6606,high,professional,professional_05
2.79,7.88,7,6,3,6.05,58.2,0.7,1.0,0.0,0.4339,-0.901,0.0006,17.6,0.2081,low,athlete,athlete_11
4.14,6.06,3,12,2,4.04,76.2,-0.7,0.0,-1.0,0.9749,-0.2225,0.0151,0.7,0.6345,moderate,student,student_06
2.28,8.94,6,23,3,19.41,91.1,-0.7,-0.2588,0.9659,0.4339,-0.901,0.0,3.1,0.5451,moderate,shift_worker,shift_worker_08
3.36,5.27,3,8,2,49.07,79.2,-0.8,0.866,-0.5,0.9749,-0.2225,0.0172,-0.7,0.6208,moderate,recovering,recovering_00
1.72,6.63,5,20,5,2.02,59.9,-0.8,-0.866,0.5,-0.9749,-0.2225,0.0044,14.0,0.209,low,recovering,recovering_06
3.98,8.28,7,8,2,43.13,65.8,0.9,0.866,-0.5,0.9749,-0.2225,0.0,15.7,0.3215,moderate,recovering,recovering_06
14.0,3.13,1,20,5,12.33,77.1,-0.8,-0.866,0.5,-0.9749,-0.2225,0.1278,20.8,0.98,high,chronic_stress,chronic_stress_11
8.27,8.49,7,20,4,4.68,83.9,0.6,-0.866,0.5,-0.4339,-0.901,0.0,23.1,0.3692,moderate,professional,professional_04
14.0,4.59,1,9,2,54.7,85.7,-0.6,0.7071,-0.7071,0.9749,-0.2225,0.0894,20.5,0.98,high,chronic_stress,chronic_stress_04
0.94,5.79,6,19,4,4.48,79.8,-0.6,-0.9659,0.2588,-0.4339,-0.901,0.0039,19.4,0.5615,moderate,recovering,recovering_08
2.67,8.54,9,18,6,1.0,53.6,0.5,-1.0,-0.0,-0.7818,0.6235,0.0,9.6,0.3544,moderate,athlete,athlete_09
1.58,5.26,3,6,5,8.37,71.5,0.7,1.0,0.0,-0.9749,-0.2225,0.0081,18.3,0.2011,low,shift_worker,shift_worker_13
3.53,10.14,9,19,6,0.5,59.2,0.9,-0.9659,0.2588,-0.7818,0.6235,0.0,16.7,0.2063,low,athlete,athlete_12
2.7,7.51,7,8,3,0.87,63.8,0.7,0.866,-0.5,0.4339,-0.901,0.0025,24.8,0.2128,low,recovering,recovering_10
8.4,5.18,2,10,2,5.52,86.0,-0.7,0.5,-0.866,0.9749,-0.2225,0.0444,27.7,0.98,high,chronic_stress,chronic_stress_04
1.38,6.09,7,19,4,0.5,73.7,-0.6,-0.9659,0.2588,-0.4339,-0.901,0.0049,3.6,0.5617,moderate,professional,professional_03
14.0,5.0,1,20,3,35.44,81.3,-0.8,-0.866,0.5,0.4339,-0.901,0.0786,13.3,0.98,high,student,student_08
4.1,4.98,2,22,2,7.59,85.7,0.6,-0.5,0.866,0.9749,-0.2225,0.0233,27.1,0.6279,moderate,student,student_05
1.33,3.74,2,6,6,10.48,80.1,-0.7,1.0,0.0,-0.7818,0.6235,0.0106,10.4,0.4714,moderate,shift_worker,shift_worker_18
14.0,3.89,1,13,2,92.71,83.8,-0.4,-0.2588,-0.9659,0.9749,-0.2225,0.108,8.6,0.98,high,chronic_stress,chronic_stress_10
3.72,9.13,6,9,6,3.49,71.2,0.6,0.7071,-0.7071,-0.7818,0.6235,0.0,10.6,0.2021,low,recovering,recovering_12
9.24,7.05,4,12,4,51.53,86.5,-0.4,0.0,-1.0,-0.4339,-0.901,0.0165,23.3,0.98,high,student,student_13
7.6,9.23,8,12,6,16.85,72.2,-0.4,0.0,-1.0,-0.7818,0.6235,0.0,20.4,0.6095,moderate,recovering,recovering_04
7.42,4.83,3,20,2,8.49,64.8,-0.8,-0.866,0.5,0.9749,-0.2225,0.0441,-8.0,0.98,high,student,student_06
2.94,7.02,5,15,4,4.23,80.1,-0.6,-0.7071,-0.7071,-0.4339,-0.901,0.0054,2.4,0.6102,moderate,shift_worker,shift_worker_06
14.0,6.42,2,22,5,120.0,74.1,-0.6,-0.5,0.866,-0.9749,-0.2225,0.0414,26.7,0.98,high,shift_worker,shift_worker_06
1.92,9.1,9,12,4,31.2,64.8,-0.8,0.0,-1.0,-0.4339,-0.901,0.0,-1.6,0.6315,moderate,athlete,athlete_06
2.75,7.18,7,18,5,6.42,71.7,-0.6,-1.0,-0.0,-0.9749,-0.2225,0.0042,20.7,0.5175,moderate,professional,professional_19
10.22,5.74,4,14,4,6.32,80.2,-0.8,-0.5,-0.866,-0.4339,-0.901,0.0433,13.5,0.8467,high,shift_worker,shift_worker_03
0.48,6.38,4,21,3,0.5,86.1,-0.8,-0.7071,0.7071,0.4339,-0.901,0.0014,19.7,0.6591,moderate,student,student_08
8.05,4.8,2,6,4,46.64,72.6,-0.6,1.0,0.0,-0.4339,-0.901,0.0482,22.8,0.98,high,shift_worker,shift_worker_11
14.0,5.43,1,22,2,116.99,59.5,-0.6,-0.5,0.866,0.9749,-0.2225,0.0675,5.6,0.98,high,shift_worker,shift_worker_17
5.86,4.44,2,10,4,14.57,83.3,-0.8,0.5,-0.866,-0.4339,-0.901,0.0391,-8.0,0.98,high,student,student_01
10.07,5.96,3,20,1,0.8,78.1,-0.6,-0.866,0.5,0.7818,0.6235,0.0385,3.3,0.8218,high,chronic_stress,chronic_stress_03
14.0,3.0,1,23,5,23.91,88.6,-0.7,-0.2588,0.9659,-0.9749,-0.2225,0.1313,23.3,0.98,high,shift_worker,shift_worker_19
8.69,7.45,4,9,5,45.14,44.6,-0.7,0.7071,-0.7071,-0.9749,-0.2225,0.009,10.1,0.6969,high,recovering,recovering_14
12.46,3.02,1,20,5,5.25,99.4,-0.8,-0.866,0.5,-0.9749,-0.2225,0.1163,13.2,0.98,high,chronic_stress,chronic_stress_11
6.05,10.96,7,22,6,1.94,70.4,-0.7,-0.5,0.866,-0.7818,0.6235,0.0,10.6,0.8512,high,student,student_03
3.51,4.93,2,7,6,4.75,61.7,-0.6,0.9659,-0.2588,-0.7818,0.6235,0.0202,6.4,0.7167,high,shift_worker,shift_worker_10
1.81,5.74,4,15,6,4.99,82.5,-0.8,-0.7071,-0.7071,-0.7818,0.6235,0.0077,2.3,0.6466,moderate,shift_worker,shift_worker_04
2.76,3.55,1,20,4,3.49,101.2,-0.7,-0.866,0.5,-0.4339,-0.901,0.023,13.1,0.872,high,chronic_stress,chronic_stress_19
8.64,6.46,5,19,3,39.45,75.2,-0.6,-0.9659,0.2588,0.4339,-0.901,0.0249,18.3,0.8769,high,professional,professional_04
3.97,5.63,4,18,5,7.58,71.7,-0.4,-1.0,-0.0,-0.9749,-0.2225,0.0177,3.8,0.6029,moderate,professional,professional_18
4.41,7.18,5,19,0,1.08,91.9,-0.8,-0.9659,0.2588,0.0,1.0,0.0068,3.1,0.6293,moderate,recovering,recovering_15
2.88,6.99,5,12,4,66.31,73.5,0.6,0.0,-1.0,-0.4339,-0.901,0.0055,12.0,0.4715,moderate,recovering,recovering_12
2.55,7.38,6,7,3,11.23,70.5,0.6,0.9659,-0.2588,0.4339,-0.901,0.0029,3.0,0.1131,low,professional,professional_15
0.42,8.14,4,7,0,0.5,77.3,0.5,0.9659,-0.2588,0.0,1.0,0.0,8.2,0.266,low,shift_worker,shift_worker_00
4.05,6.32,3,14,1,2.75,78.9,0.7,-0.5,-0.866,0.7818,0.6235,0.0128,12.2,0.4932,moderate,shift_worker,shift_worker_14
12.31,6.4,4,19,0,54.73,77.6,-0.6,-0.9659,0.2588,0.0,1.0,0.0369,21.3,0.8917,high,professional,professional_08
9.55,4.39,1,22,2,15.77,86.2,-0.7,-0.5,0.866,0.9749,-0.2225,0.0646,11.4,0.98,high,chronic_stress,chronic_stress_09
10.78,7.99,5,18,5,120.0,62.0,-0.7,-1.0,-0.0,-0.9749,-0.2225,0.0003,11.0,0.7667,high,professional,professional_18
4.3,4.53,1,22,6,19.66,81.9,-0.6,-0.5,0.866,-0.7818,0.6235,0.028,7.5,0.8302,high,chronic_stress,chronic_stress_09
12.47,3.0,1,14,0,85.75,83.9,-0.7,-0.5,-0.866,0.0,1.0,0.1169,9.7,0.98,high,shift_worker,shift_worker_09
14.0,3.82,1,22,0,51.09,76.5,-0.4,-0.5,0.866,0.0,1.0,0.1098,21.2,0.98,high,student,student_16
9.46,6.71,3,23,4,7.68,79.9,-0.6,-0.2588,0.9659,-0.4339,-0.901,0.0229,13.0,0.8327,high,student,student_12
3.67,7.7,7,19,6,20.94,60.4,0.5,-0.9659,0.2588,-0.7818,0.6235,0.0021,4.7,0.3293,low,recovering,recovering_09
1.07,8.63,8,7,1,12.76,55.5,-0.7,0.9659,-0.2588,0.7818,0.6235,0.0,7.2,0.2966,low,athlete,athlete_10
13.54,3.72,1,7,3,16.91,85.7,-0.6,0.9659,-0.2588,0.4339,-0.901,0.1087,-4.7,0.98,high,shift_worker,shift_worker_05
9.08,5.3,3,8,1,26.54,81.3,-0.8,0.866,-0.5,0.7818,0.6235,0.0459,1.8,0.98,high,professional,professional_03
1.86,6.19,4,21,0,5.71,79.1,0.5,-0.7071,0.7071,0.0,1.0,0.0063,14.2,0.3148,low,recovering,recovering_04
4.84,7.54,3,7,2,3.73,79.9,0.6,0.9659,-0.2588,0.9749,-0.2225,0.0042,16.3,0.3063,low,professional,professional_07
14.0,4.69,1,13,3,27.97,90.0,-0.6,-0.2588,-0.9659,0.4339,-0.901,0.087,14.3,0.98,high,chronic_stress,chronic_stress_15
14.0,8.4,4,12,1,12.96,70.8,0.6,0.0,-1.0,0.7818,0.6235,0.0,24.9,0.5757,moderate,student,student_08
5.42,6.64,5,20,6,23.8,89.6,0.9,-0.866,0.5,-0.7818,0.6235,0.0138,-6.2,0.5656,moderate,chronic_stress,chronic_stress_18
5.15,4.59,2,22,2,17.05,78.5,0.6,-0.5,0.866,0.9749,-0.2225,0.033,10.0,0.932,high,chronic_stress,chronic_stress_04
4.86,6.08,4,7,0,7.34,96.3,-0.8,0.9659,-0.2588,0.0,1.0,0.0175,13.6,0.7484,high,shift_worker,shift_worker_15
5.69,7.55,7,8,4,43.7,66.2,0.9,0.866,-0.5,-0.4339,-0.901,0.0048,5.4,0.3841,moderate,recovering,recovering_15
4.3,7.69,7,8,0,38.11,50.3,0.5,0.866,-0.5,0.0,1.0,0.0025,8.5,0.3222,low,athlete,athlete_11
13.14,8.48,6,18,1,120.0,53.2,0.7,-1.0,-0.0,0.7818,0.6235,0.0,23.7,0.5917,moderate,athlete,athlete_05
2.1,6.76,6,8,4,10.55,70.8,0.7,0.866,-0.5,-0.4339,-0.901,0.0049,8.0,0.2029,low,professional,professional_19
6.91,7.63,5,12,6,5.82,91.4,0.5,0.0,-1.0,-0.7818,0.6235,0.0049,13.9,0.6476,moderate,professional,professional_12
3.44,8.91,8,19,4,2.51,52.5,0.5,-0.9659,0.2588,-0.4339,-0.901,0.0,23.6,0.0876,low,athlete,athlete_07
8.42,3.68,1,21,4,52.76,83.5,-0.8,-0.7071,0.7071,-0.4339,-0.901,0.0682,19.8,0.98,high,chronic_stress,chronic_stress_10
2.65,7.71,4,6,3,0.97,47.4,-0.7,1.0,0.0,0.4339,-0.901,0.0014,3.5,0.6245,moderate,athlete,athlete_19
5.38,5.14,5,19,5,22.78,89.3,-0.7,-0.9659,0.2588,-0.9749,-0.2225,0.0288,12.4,0.8531,high,professional,professional_02
2.05,8.68,7,7,5,4.5,67.9,-0.6,0.9659,-0.2588,-0.9749,-0.2225,0.0,14.6,0.4356,moderate,athlete,athlete_03
0.66,6.78,6,7,4,1.27,47.4,0.5,0.9659,-0.2588,-0.4339,-0.901,0.0015,11.1,0.1216,low,athlete,athlete_10
14.0,4.61,2,14,6,2.13,73.3,-0.6,-0.5,-0.866,-0.7818,0.6235,0.0891,12.0,0.98,high,student,student_11
2.57,4.46,2,14,4,29.31,76.0,0.6,-0.5,-0.866,-0.4339,-0.901,0.0171,13.0,0.591,moderate,student,student_10
3.66,8.86,6,14,5,3.02,79.6,0.6,-0.5,-0.866,-0.9749,-0.2225,0.0,15.2,0.2103,low,student,student_14
5.64,5.14,3,6,5,19.22,75.4,-0.8,1.0,0.0,-0.9749,-0.2225,0.0303,12.6,0.67,moderate,shift_worker,shift_worker_15
3.74,8.55,6,19,5,21.95,75.2,0.9,-0.9659,0.2588,-0.9749,-0.2225,0.0,14.3,0.3351,low,professional,professional_00
5.69,8.28,7,7,3,54.3,44.0,-0.6,0.9659,-0.2588,0.4339,-0.901,0.0,19.3,0.5584,moderate,athlete,athlete_09
3.89,3.0,2,7,4,55.44,79.8,-0.6,0.9659,-0.2588,-0.4339,-0.901,0.0364,20.5,0.9053,high,shift_worker,shift_worker_17
11.45,4.04,1,21,0,13.06,72.4,0.6,-0.7071,0.7071,0.0,1.0,0.0851,9.9,0.932,high,chronic_stress,chronic_stress_19
2.04,6.62,4,7,1,33.51,78.1,0.5,0.9659,-0.2588,0.7818,0.6235,0.0053,9.0,0.3905,moderate,professional,professional_18
0.88,4.63,1,14,2,0.59,90.5,-0.7,-0.5,-0.866,0.9749,-0.2225,0.0056,9.0,0.543,moderate,shift_worker,shift_worker_08
5.47,7.12,6,12,1,41.52,66.1,-0.4,0.0,-1.0,0.7818,0.6235,0.009,3.6,0.4665,moderate,athlete,athlete_07
4.43,7.01,4,23,5,1.49,68.0,0.6,-0.2588,0.9659,-0.9749,-0.2225,0.0082,11.3,0.4596,moderate,student,student_00
4.98,7.17,5,8,4,1.5,75.4,0.7,0.866,-0.5,-0.4339,-0.901,0.0077,5.7,0.3068,low,professional,professional_10
7.47,3.0,1,14,4,9.44,68.1,-0.7,-0.5,-0.866,-0.4339,-0.901,0.07,20.1,0.9787,high,shift_worker,shift_worker_06
10.4,7.96,6,8,6,38.03,75.1,-0.8,0.866,-0.5,-0.7818,0.6235,0.0007,21.2,0.5959,moderate,professional,professional_06
14.0,6.05,2,10,3,106.99,78.2,-0.6,0.5,-0.866,0.4339,-0.901,0.0513,1.2,0.98,high,student,student_01
14.0,3.0,1,14,0,29.17,64.5,-0.8,-0.5,-0.866,0.0,1.0,0.1313,13.2,0.98,high,shift_worker,shift_worker_11
14.0,6.63,4,10,0,15.15,89.8,-0.4,0.5,-0.866,0.0,1.0,0.0359,20.1,0.7746,high,student,student_09
3.65,4.88,2,20,5,2.32,102.6,0.6,-0.866,0.5,-0.9749,-0.2225,0.0214,15.9,0.5985,moderate,chronic_stress,chronic_stress_13
9.23,5.83,2,9,6,6.35,75.8,-0.8,0.7071,-0.7071,-0.7818,0.6235,0.0375,1.3,0.9219,high,chronic_stress,chronic_stress_00
